# snap_directory log_total_column_density(cm^-2) curr_spectrum ion  radius(kpc) gal_R200(kpc) gal_M200(log10(M/10^10*M_sol))
# /cosma5/data/dp004/dc-oppe1/data/L012N0376/data_L012N0376_eagle.NEQ.snap023 14.244 Spectrum0 h1 54.119 81.908 10.851
# velocity_array(km/s) ion_flux optical_depth
-1.981e+02 1.742e-01 1.747e+00
-1.967e+02 1.670e-01 1.790e+00
-1.953e+02 1.604e-01 1.830e+00
-1.939e+02 1.543e-01 1.869e+00
-1.925e+02 1.488e-01 1.905e+00
-1.911e+02 1.439e-01 1.939e+00
-1.897e+02 1.395e-01 1.970e+00
-1.883e+02 1.357e-01 1.997e+00
-1.869e+02 1.325e-01 2.021e+00
-1.855e+02 1.299e-01 2.041e+00
-1.841e+02 1.278e-01 2.058e+00
-1.827e+02 1.262e-01 2.070e+00
-1.813e+02 1.252e-01 2.078e+00
-1.799e+02 1.247e-01 2.082e+00
-1.785e+02 1.247e-01 2.082e+00
-1.771e+02 1.252e-01 2.078e+00
-1.757e+02 1.263e-01 2.069e+00
-1.743e+02 1.279e-01 2.057e+00
-1.729e+02 1.300e-01 2.040e+00
-1.715e+02 1.327e-01 2.019e+00
-1.701e+02 1.360e-01 1.995e+00
-1.687e+02 1.399e-01 1.967e+00
-1.673e+02 1.445e-01 1.935e+00
-1.659e+02 1.497e-01 1.899e+00
-1.645e+02 1.556e-01 1.861e+00
-1.631e+02 1.622e-01 1.819e+00
-1.617e+02 1.696e-01 1.774e+00
-1.603e+02 1.779e-01 1.727e+00
-1.589e+02 1.870e-01 1.676e+00
-1.575e+02 1.971e-01 1.624e+00
-1.561e+02 2.082e-01 1.569e+00
-1.547e+02 2.203e-01 1.513e+00
-1.533e+02 2.335e-01 1.454e+00
-1.519e+02 2.479e-01 1.395e+00
-1.505e+02 2.635e-01 1.334e+00
-1.491e+02 2.804e-01 1.272e+00
-1.477e+02 2.984e-01 1.209e+00
-1.463e+02 3.178e-01 1.146e+00
-1.449e+02 3.384e-01 1.083e+00
-1.435e+02 3.603e-01 1.021e+00
-1.421e+02 3.833e-01 9.589e-01
-1.407e+02 4.075e-01 8.978e-01
-1.393e+02 4.326e-01 8.379e-01
-1.379e+02 4.587e-01 7.794e-01
-1.365e+02 4.855e-01 7.227e-01
-1.351e+02 5.128e-01 6.678e-01
-1.337e+02 5.406e-01 6.151e-01
-1.323e+02 5.685e-01 5.647e-01
-1.309e+02 5.965e-01 5.168e-01
-1.295e+02 6.242e-01 4.713e-01
-1.281e+02 6.515e-01 4.285e-01
-1.267e+02 6.782e-01 3.883e-01
-1.253e+02 7.041e-01 3.508e-01
-1.239e+02 7.291e-01 3.159e-01
-1.225e+02 7.531e-01 2.836e-01
-1.211e+02 7.759e-01 2.538e-01
-1.197e+02 7.974e-01 2.264e-01
-1.183e+02 8.176e-01 2.013e-01
-1.169e+02 8.365e-01 1.785e-01
-1.155e+02 8.540e-01 1.578e-01
-1.141e+02 8.702e-01 1.390e-01
-1.127e+02 8.850e-01 1.222e-01
-1.113e+02 8.985e-01 1.070e-01
-1.099e+02 9.107e-01 9.349e-02
-1.085e+02 9.218e-01 8.144e-02
-1.071e+02 9.317e-01 7.074e-02
-1.057e+02 9.406e-01 6.128e-02
-1.043e+02 9.484e-01 5.295e-02
-1.029e+02 9.554e-01 4.563e-02
-1.015e+02 9.615e-01 3.925e-02
-1.001e+02 9.669e-01 3.369e-02
-9.869e+01 9.715e-01 2.887e-02
-9.729e+01 9.756e-01 2.472e-02
-9.589e+01 9.791e-01 2.116e-02
-9.449e+01 9.820e-01 1.811e-02
-9.309e+01 9.846e-01 1.553e-02
-9.169e+01 9.868e-01 1.334e-02
-9.029e+01 9.886e-01 1.149e-02
-8.889e+01 9.901e-01 9.951e-03
-8.749e+01 9.914e-01 8.659e-03
-8.609e+01 9.925e-01 7.578e-03
-8.469e+01 9.934e-01 6.669e-03
-8.329e+01 9.941e-01 5.896e-03
-8.189e+01 9.948e-01 5.234e-03
-8.049e+01 9.954e-01 4.660e-03
-7.910e+01 9.958e-01 4.160e-03
-7.770e+01 9.963e-01 3.724e-03
-7.630e+01 9.967e-01 3.344e-03
-7.490e+01 9.970e-01 3.017e-03
-7.350e+01 9.973e-01 2.735e-03
-7.210e+01 9.975e-01 2.495e-03
-7.070e+01 9.977e-01 2.292e-03
-6.930e+01 9.979e-01 2.123e-03
-6.790e+01 9.980e-01 1.983e-03
-6.650e+01 9.981e-01 1.871e-03
-6.510e+01 9.982e-01 1.786e-03
-6.370e+01 9.983e-01 1.726e-03
-6.230e+01 9.983e-01 1.691e-03
