# snap_directory log_total_column_density curr_spectrum ion  radius gal_R200 gal_M200
# /cosma5/data/dp004/dc-oppe1/Halo_x001/data_007_x001_eagle.NEQ.snap023restart 15.643 Spectrum11 h1 35.257 176.286 11.849
# velocity_array ion_flux optical_depth
2.076e+02 9.982e-01 1.771e-03
2.090e+02 9.984e-01 1.600e-03
2.104e+02 9.986e-01 1.447e-03
2.118e+02 9.987e-01 1.310e-03
2.132e+02 9.988e-01 1.187e-03
2.146e+02 9.989e-01 1.077e-03
2.160e+02 9.990e-01 9.787e-04
2.174e+02 9.991e-01 8.900e-04
2.188e+02 9.992e-01 8.101e-04
2.202e+02 9.993e-01 7.377e-04
2.216e+02 9.993e-01 6.721e-04
2.230e+02 9.994e-01 6.125e-04
2.244e+02 9.994e-01 5.581e-04
2.258e+02 9.995e-01 5.085e-04
2.272e+02 9.995e-01 4.632e-04
2.286e+02 9.996e-01 4.217e-04
2.300e+02 9.996e-01 3.837e-04
2.314e+02 9.997e-01 3.488e-04
2.328e+02 9.997e-01 3.169e-04
2.342e+02 9.997e-01 2.877e-04
2.356e+02 9.997e-01 2.609e-04
2.370e+02 9.998e-01 2.364e-04
2.384e+02 9.998e-01 2.140e-04
2.398e+02 9.998e-01 1.936e-04
2.412e+02 9.998e-01 1.750e-04
2.426e+02 9.998e-01 1.581e-04
2.440e+02 9.999e-01 1.427e-04
2.454e+02 9.999e-01 1.287e-04
2.468e+02 9.999e-01 1.161e-04
2.482e+02 9.999e-01 1.046e-04
2.496e+02 9.999e-01 9.429e-05
2.510e+02 9.999e-01 8.496e-05
2.524e+02 9.999e-01 7.653e-05
2.538e+02 9.999e-01 6.893e-05
2.552e+02 9.999e-01 6.208e-05
2.566e+02 9.999e-01 5.591e-05
2.580e+02 9.999e-01 5.035e-05
2.594e+02 1.000e+00 4.535e-05
2.608e+02 1.000e+00 4.083e-05
2.622e+02 1.000e+00 3.677e-05
2.636e+02 1.000e+00 3.310e-05
2.650e+02 1.000e+00 2.980e-05
2.664e+02 1.000e+00 2.683e-05
2.678e+02 1.000e+00 2.414e-05
2.692e+02 1.000e+00 2.173e-05
2.706e+02 1.000e+00 1.954e-05
2.720e+02 1.000e+00 1.758e-05
2.734e+02 1.000e+00 1.581e-05
2.748e+02 1.000e+00 1.421e-05
2.762e+02 1.000e+00 1.276e-05
2.776e+02 1.000e+00 1.147e-05
2.790e+02 1.000e+00 1.030e-05
2.804e+02 1.000e+00 9.240e-06
2.818e+02 1.000e+00 8.290e-06
2.832e+02 1.000e+00 7.435e-06
2.846e+02 1.000e+00 6.665e-06
2.860e+02 1.000e+00 5.972e-06
2.874e+02 1.000e+00 5.349e-06
2.888e+02 1.000e+00 4.788e-06
2.902e+02 1.000e+00 4.285e-06
2.916e+02 1.000e+00 3.833e-06
2.930e+02 1.000e+00 3.427e-06
2.944e+02 1.000e+00 3.062e-06
2.958e+02 1.000e+00 2.735e-06
2.972e+02 1.000e+00 2.442e-06
2.986e+02 1.000e+00 2.179e-06
3.000e+02 1.000e+00 1.944e-06
3.014e+02 1.000e+00 1.733e-06
3.028e+02 1.000e+00 1.545e-06
3.042e+02 1.000e+00 1.376e-06
3.056e+02 1.000e+00 1.225e-06
3.070e+02 1.000e+00 1.091e-06
3.084e+02 1.000e+00 9.702e-07
3.098e+02 1.000e+00 8.628e-07
3.112e+02 1.000e+00 7.670e-07
3.126e+02 1.000e+00 6.816e-07
3.140e+02 1.000e+00 6.054e-07
3.154e+02 1.000e+00 5.376e-07
3.168e+02 1.000e+00 4.772e-07
3.182e+02 1.000e+00 4.234e-07
3.196e+02 1.000e+00 3.756e-07
3.210e+02 1.000e+00 3.331e-07
3.224e+02 1.000e+00 2.953e-07
3.238e+02 1.000e+00 2.617e-07
3.252e+02 1.000e+00 2.319e-07
3.266e+02 1.000e+00 2.055e-07
3.280e+02 1.000e+00 1.820e-07
3.294e+02 1.000e+00 1.612e-07
3.308e+02 1.000e+00 1.428e-07
3.322e+02 1.000e+00 1.264e-07
3.336e+02 1.000e+00 1.119e-07
3.350e+02 1.000e+00 9.913e-08
3.364e+02 1.000e+00 8.779e-08
3.378e+02 1.000e+00 7.775e-08
3.392e+02 1.000e+00 6.888e-08
3.406e+02 1.000e+00 6.103e-08
3.420e+02 1.000e+00 5.409e-08
3.434e+02 1.000e+00 4.796e-08
3.448e+02 1.000e+00 4.255e-08
3.462e+02 1.000e+00 3.777e-08
3.476e+02 1.000e+00 3.355e-08
3.490e+02 1.000e+00 2.982e-08
3.504e+02 1.000e+00 2.654e-08
3.518e+02 1.000e+00 2.364e-08
3.532e+02 1.000e+00 2.109e-08
3.546e+02 1.000e+00 1.884e-08
3.560e+02 1.000e+00 1.686e-08
3.574e+02 1.000e+00 1.512e-08
3.588e+02 1.000e+00 1.359e-08
3.602e+02 1.000e+00 1.224e-08
3.616e+02 1.000e+00 1.107e-08
3.630e+02 1.000e+00 1.003e-08
3.644e+02 1.000e+00 9.127e-09
3.658e+02 1.000e+00 8.335e-09
3.672e+02 1.000e+00 7.645e-09
3.686e+02 1.000e+00 7.044e-09
3.700e+02 1.000e+00 6.521e-09
3.714e+02 1.000e+00 6.068e-09
3.728e+02 1.000e+00 5.677e-09
3.742e+02 1.000e+00 5.340e-09
3.756e+02 1.000e+00 5.051e-09
3.770e+02 1.000e+00 4.805e-09
3.784e+02 1.000e+00 4.597e-09
3.798e+02 1.000e+00 4.423e-09
3.812e+02 1.000e+00 4.280e-09
3.826e+02 1.000e+00 4.163e-09
3.840e+02 1.000e+00 4.070e-09
3.854e+02 1.000e+00 3.999e-09
3.868e+02 1.000e+00 3.948e-09
3.882e+02 1.000e+00 3.914e-09
3.896e+02 1.000e+00 3.895e-09
3.910e+02 1.000e+00 3.892e-09
